id,text,coordinates,retweeted,retweet_count,user.followers_count,user.statuses_count,user.friend_count,user.location,user.time_zone,created_at,fname
880761150027292672,.@commonwealthsec - We achieved results for the last three years due to some amazing staff @ #Commonwealth like… https://t.co/tApeglzSPh,,False,0,1334,4551,,"London, England",,2017-06-30 12:13:16,stream30Jun.csv
880761253660164096,Gotta love these two stunners #staffie #dogslife #ridgeback #bluestaff #dogs #family #fit #hench #ktfc #adoreable… https://t.co/WMqh5eUQkK,,False,0,1302,1323,,Manchester,Europe/London,2017-06-30 12:13:41,stream30Jun.csv
880761845270945792,Thanks to @USAmbIreland and his staff at the US Embassy in Dublin for treating us to a beautiful #IndependenceDay c… https://t.co/adPx6evDu4,,False,0,6399,7513,,kickstarter 4 #SongsOfZelda ,Pacific Time (US & Canada),2017-06-30 12:16:02,stream30Jun.csv
880761903269675009,We're facing severe staff redundancies but we appoint this bellend. Alrighty https://t.co/hLybdGUrZl,,False,0,10225,27767,,"Manchester, UK",London,2017-06-30 12:16:16,stream30Jun.csv
880762037948698630,Interested in a #job in #LondonGreaterLondon? This could be a great fit: https://t.co/ZVeK0LftTb #Retail #Hiring #CareerArc,"{'coordinates': [-0.1277583, 51.5073509], 'type': 'Point'}",False,0,416,46,,London,Eastern Time (US & Canada),2017-06-30 12:16:48,stream30Jun.csv
880762583158075392,Wishing Aberdeen City pupils and school staff an enjoyable and restful summer. Looking forward to another year of success and improvement.,,False,0,730,1017,,"Aberdeen, Scotland",London,2017-06-30 12:18:58,stream30Jun.csv
880762974541053954,If anyone wants security for their surgery I'm hiring these two out… https://t.co/RmH5Cz7K4K,"{'coordinates': [-3.9263621, 51.66590094], 'type': 'Point'}",False,0,272,12892,,swansea,,2017-06-30 12:20:31,stream30Jun.csv
880763008254971905,"Apartment 6, The Willows, Dunstaffnage Hall.. ⇨ €425,000 | 2 Bed Apartment 74 m² / 797 .. | https://t.co/te66mn2lmR | #stillorgan","{'coordinates': [-6.19406983, 53.28291363], 'type': 'Point'}",False,0,1464,197826,,Ireland,Dublin,2017-06-30 12:20:39,stream30Jun.csv
880763026458193921,"When your manager calls a ""15min end of day staff meeting"" that is guaranteed to last an hour. https://t.co/k5fLQErNuq",,False,0,716,2099,,London near Purgatory,Europe/London,2017-06-30 12:20:43,stream30Jun.csv
880763092744904704,"If you're looking for work in #London, England, check out this #job: https://t.co/YBmzVQCfT5 #Sales #Hiring","{'coordinates': [-0.1277583, 51.5073509], 'type': 'Point'}",False,0,537,120,,London,Eastern Time (US & Canada),2017-06-30 12:20:59,stream30Jun.csv
880763444621869056,Great location -wonderfull staff  join us P/T Admin Assistant @BlencathraFSC Field Centre. To Apply Click here -… https://t.co/7rMJN6eryX,,False,0,4331,10564,,"Blencathra, Cumbria, UK",London,2017-06-30 12:22:23,stream30Jun.csv
880764044734541825,also the staff complimented my wallet lmao,,False,0,81,6391,,HK / 香港獨立,Hong Kong,2017-06-30 12:24:46,stream30Jun.csv
880764160614727680,also the staff complimented on my wallet lmao,,False,0,81,6391,,HK / 香港獨立,Hong Kong,2017-06-30 12:25:14,stream30Jun.csv
880764212754223104,Er'ey week I say no to work drinks cause the staff are all wet wipes but once I've had a lunchtime bev I could booze with a lampshade,,False,0,1917,48637,,West Wickham/Ketslavania ,,2017-06-30 12:25:26,stream30Jun.csv
880764730473717761,Can you recommend anyone for this #job in #Dublin? https://t.co/xZj4Lc6z4p #ProjectMgmt #Hiring #CareerArc,"{'coordinates': [-6.2603097, 53.3498053], 'type': 'Point'}",False,0,216,11,,"Dublin, Ireland",Quito,2017-06-30 12:27:30,stream30Jun.csv
880764814414499840,Follow @GirlsFutsal this weekend for all the action &amp; results at @CityYouthFC #GFCC2017 @StGeorgesPark @Staffordshirefa #futsalchallengecup,,False,0,690,671,,,,2017-06-30 12:27:50,stream30Jun.csv
880765129952022529,"Full cohort of staff on Friday?Wanted a simple colesterol test,  2 pharmacies couldn't because part time staff alway choose Friday off! 1/2",,False,0,1463,7045,,North East England,London,2017-06-30 12:29:05,stream30Jun.csv
880765147194638337,"Can you recommend anyone for this #job in #Andover, England? https://t.co/rmCnTecT8q #Hiring #CareerArc","{'coordinates': [-1.4919233, 51.2111975], 'type': 'Point'}",False,0,764,221,,Great Britain,Eastern Time (US & Canada),2017-06-30 12:29:09,stream30Jun.csv
880765415638650880,@CWPT_RAWAcademy @talk2mels @CWPT_IAPT @CWPT_Staff @traceyjwrench @toni_ruck https://t.co/ISkFxIrPo1,,False,0,178,1306,,"Coventry, England",,2017-06-30 12:30:13,stream30Jun.csv
880765444537413632,"gros week-end entre girls, les vacances commencent 👅💃🏻😍",,False,0,584,23756,,Yeu,,2017-06-30 12:30:20,stream30Jun.csv
880765456822435841,"@NHSGradScheme 2/2 Due to the extent of our effort, can you DM us an email address of a graduate hiring manager who… https://t.co/XNKYzQDJHO",,False,0,50,311,,,,2017-06-30 12:30:23,stream30Jun.csv
880765639341813764,"@NHSGradScheme P.S. It might be beneficial to agree the behaviour mapping with the hiring manager, before we even p… https://t.co/SXtRVz8DX7",,False,0,50,312,,,,2017-06-30 12:31:06,stream30Jun.csv
880765661068374020,#UKREC - #Jobs of the week: various positions https://t.co/8xZmzrFckN #hiring #recruitment #career #job #UK… https://t.co/9Ks0U5IFXs,,False,0,1282,3450,,,Pacific Time (US & Canada),2017-06-30 12:31:12,stream30Jun.csv
880766874778091520,"If you're looking for work in #LondonGreaterLondon, check out this #job: https://t.co/h2P8zWOT4O #o2jobs #Retail #Hiring #CareerArc","{'coordinates': [-0.1277583, 51.5073509], 'type': 'Point'}",False,0,676,258,,"Slough, England",London,2017-06-30 12:36:01,stream30Jun.csv
880766889747767296,Can you imagine encountering a member of staff at Heathrow airport that hasn't got a stinking attitude 🤔,,False,0,1467,5642,,Abertillery,Pacific Time (US & Canada),2017-06-30 12:36:05,stream30Jun.csv
880767163761643521,@HelenAshwood1 @staffsmidwifery @leshayes5 @tracihudson20 @2Laurenphilp @Su2ieJ @Ruthcar19380870 seems work ++ 2 do… https://t.co/VSJGEJYY3P,,False,0,137,2785,,,,2017-06-30 12:37:10,stream30Jun.csv
880767275883782144,#Yorkshire #Jobs &amp; #Vacancy:Dynamic and hardworking individuals sought as Trainee Insurance Clerks in #Doncaster&gt;… https://t.co/6WIBgfjgkV,,False,0,3401,17652,,Yorkshire and The Humber,Pacific Time (US & Canada),2017-06-30 12:37:37,stream30Jun.csv
880767538375737344,Want to work at O2? We're #hiring in #London! Click for details: https://t.co/r8EdUpolcX #BusinessMgmt #Job #Jobs #CareerArc,"{'coordinates': [-0.1277583, 51.5073509], 'type': 'Point'}",False,0,510,96,,London,Eastern Time (US & Canada),2017-06-30 12:38:39,stream30Jun.csv
880768311599874049,"VACANCIES AT BIDDYS 

The following role will require you to have past experience in service and… https://t.co/AY1Zp2O1Q2","{'coordinates': [1.29176, 52.62957], 'type': 'Point'}",False,0,2941,1796,,Norwich|Aylsham,London,2017-06-30 12:41:44,stream30Jun.csv
880768603481624576,@Hull_Trains disappointing no hot drinks and no wifi but staff are excellent,,False,0,6442,51199,,Yorkshire ,London,2017-06-30 12:42:53,stream30Jun.csv
880768683605319680,"Interested in a #job in #London, England? This could be a great fit: https://t.co/vqEeYMWvpR #Hiring","{'coordinates': [-0.1277583, 51.5073509], 'type': 'Point'}",False,0,757,164,,London,Eastern Time (US & Canada),2017-06-30 12:43:12,stream30Jun.csv
880768749221052417,Job vacancies: We have four fantastic opportunities to work with the community within @blackburnyz - To apply visit… https://t.co/HgcWd2b4gP,,False,0,3537,4055,,"Ewood Park, Blackburn",London,2017-06-30 12:43:28,stream30Jun.csv
880769614589943810,Looking for your next SAP role in Switzerland? See all of our current vacancies via https://t.co/VWOb1bKUW4 https://t.co/OZHG9PMbUe,,False,0,924,6855,,"Colchester, Essex, UK",London,2017-06-30 12:46:54,stream30Jun.csv
880770075296489472,Rachel wins the @realUNOgame lunchtime championship for June! Can't say those +4 cards are good for staff morale... https://t.co/BINmvD7umo,,False,0,352,605,,"Newcastle Upon Tyne, England",,2017-06-30 12:48:44,stream30Jun.csv
880770274563547136,Find Your Summer Dream #Job! The @marshalls store in #London is #HIRING! Learn More: https://t.co/SiTF8MH1jP #Marketing #Veterans,"{'coordinates': [-0.1277583, 51.5073509], 'type': 'Point'}",False,0,578,42,,London,Eastern Time (US & Canada),2017-06-30 12:49:32,stream30Jun.csv
880770397913985024,Well done all. Fantastic to see. Thank you Mrs Miller and all staff and pupils. https://t.co/sU8hw4mtfW,,False,0,771,1641,,"Kings Heath, Birmingham",London,2017-06-30 12:50:01,stream30Jun.csv
880770798960742400,#Yorkshire #Jobs &amp; #Vacancy: Opportunity to work as a Complex Lives Coach with @YMCADoncaster - info&gt;… https://t.co/3uuqkBzElb,,False,0,3403,17657,,Yorkshire and The Humber,Pacific Time (US & Canada),2017-06-30 12:51:37,stream30Jun.csv
880771478802837505,Best wishes to all our staff who are moving on to new adventures next year. Thank you all for your hard work and dedication to our learners.,,False,0,595,658,,EH22 3BA,London,2017-06-30 12:54:19,stream30Jun.csv
880772326874243073,"Want to work at Phillips 66? We're #hiring in #London, England! Click for details: https://t.co/58NDZCa0tO #Sales #Job #Jobs","{'coordinates': [-0.1277583, 51.5073509], 'type': 'Point'}",False,0,537,120,,London,Eastern Time (US & Canada),2017-06-30 12:57:41,stream30Jun.csv
880772400547233792,Staff and Scrip @staffandscrip Just Followed Me. Thanks A Million &amp; Have A Great Weekend!!!,,False,0,111,3977,,"Harlow, East",,2017-06-30 12:57:58,stream30Jun.csv
880772466640961537,"If you're looking for work in #Basildon, England, check out this #job: https://t.co/hyvGmAUG7J #IT #Hiring","{'coordinates': [0.416962, 51.5706868], 'type': 'Point'}",False,0,340,48,,London,Eastern Time (US & Canada),2017-06-30 12:58:14,stream30Jun.csv
880772661055557633,.@YMCA_Bham staff conference 2017 about to kick off! #feelingpumped #ymca https://t.co/Xlp2jVDPQ6,,False,0,483,1266,,BIRMINGHAM,London,2017-06-30 12:59:01,stream30Jun.csv
880772676754837504,#Yorkshire #Jobs &amp; #Vacancy:  @YMCADoncaster seek a Monitoring and Administration Officer. For more info&gt;… https://t.co/DrXUd3StBL,,False,0,3404,17660,,Yorkshire and The Humber,Pacific Time (US & Canada),2017-06-30 12:59:04,stream30Jun.csv
880772834561216512,"Can you recommend anyone for this #job? Care Assistant - NIGHTS - https://t.co/lGT7nm0LpW #Healthcare #Newbury, England #Hiring #CareerArc","{'coordinates': [-1.3231139, 51.401409], 'type': 'Point'}",False,0,468,46,,Great Britain,Eastern Time (US & Canada),2017-06-30 12:59:42,stream30Jun.csv
